År,Lønnsvekst,Arbeidsledighet
1970,,
1971,12.5,
1972,9.5,1.7
1973,10.5,1.5
1974,13.5,1.5
1975,17.4,2.3
1976,13.6,1.8
1977,10.3,1.5
1978,8.7,1.8
1979,3.4,2
1980,9.8,1.7
1981,11.9,2
1982,11.4,2.6
1983,9,3.4
1984,7.6,3.2
1985,7.5,2.6
1986,9.1,2
1987,8.7,2.1
1988,6,3.2
1989,4.4,4.9
1990,4.8,5.2
1991,5.1,5.5
1992,3.9,5.9
1993,3.4,6
1994,3.1,5.4
1995,3.3,4.9
1996,4.4,4.8
1997,4.8,4
1998,6.5,3.2
1999,5.4,3.2
2000,4.5,3.4
2001,5.3,3.5
2002,5.4,3.9
2003,4.5,4.5
2004,3.5,4.5
2005,3.3,4.6
2006,4.1,3.4
2007,5.4,2.5
2008,6.3,2.7
2009,4.2,3.3
2010,3.7,3.8
2011,4.2,3.4
2012,4,3.3
2013,3.9,3.8
2014,3.1,3.6
2015,2.8,4.5
2016,1.7,4.7
2017,2.3,4.2
2018,2.8,3.8
2019,3.5,3.7
2020,3.1,4.6
2021,3.5,4.4
2022,4.3,3.2
2023,5.2,3.6
