Jordbruk og skogbruk,51964
"Fiske, fangst og akvakultur",120534
Bergverksdrift,16456
"Utvinning av råolje og naturgass, inkl. tjenester",1183312
Industri,909031
"Elektrisitets-, gass- og varmtvannsforsyning",141590
"Vannforsyning, avløp og renovasjon",78519
Bygge- og anleggsvirksomhet,700880
Varehandel og reparasjon av motorvogner,536587
Rørtransport,17391
Utenriks sjøfart,127840
Transport utenom utenriks sjøfart,280275
Post og distribusjonsvirksomhet,18408
Overnattings- og serveringsvirksomhet,123852
Informasjon og kommunikasjon,346197
Finansierings- og forsikringsvirksomhet,279064
Omsetning og drift av fast eiendom,200034
"Boligtjenester, egen bolig",244836
"Faglig, vitenskapelig og teknisk tjenesteyting",341080
Forretningsmessig tjenesteyting,171287
Offentlig administrasjon og forsvar,439768
Undervisning,232651
Helse- og omsorgstjenester,524407
"Kultur, underholdning og annen tjenesteyting",152781
